action_pair,difference_band,power_context,outcome_code,phase_winner,counter_dmg_A,counter_dmg_B,effect_A,effect_B,base_weight,narrative_pool_tag,is_fatal
ATK_INT,DEFAULT,DEFAULT,ATK_INT_DEFAULT_ROCE_MUTUO,NONE,0.0,0.5,NULL,NULL,0.2,ATK_INT_ROCE_MUTUO,0
INT_ATK,DEFAULT,DEFAULT,INT_ATK_DEFAULT_GOLPEA_MANIOBRA,B,1.0,0.0,NULL,NULL,0.5,INT_ATK_GOLPEA_MANIOBRA,0
INT_ATK,DEFAULT,DEFAULT,INT_ATK_DEFAULT_INT_ESQUIVA_ACTIVA,A,0.0,0.5,POS_FAVORABLE,NULL,0.3,INT_ATK_INT_ESQUIVA_ACTIVA,0
INT_ATK,DEFAULT,DEFAULT,INT_ATK_DEFAULT_ROCE_MUTUO,NONE,0.5,0.0,NULL,NULL,0.2,INT_ATK_ROCE_MUTUO,0
DEF_INT,DEFAULT,DEFAULT,DEF_INT_DEFAULT_DEF_CORTA_INT,A,0.0,0.0,CONTRA_EXITOSO,POS_DESFAVORABLE,0.35,DEF_INT_DEF_CORTA_INT,0
DEF_INT,DEFAULT,DEFAULT,DEF_INT_DEFAULT_INT_REPOSICIONA,B,0.0,0.0,POS_DESFAVORABLE,POS_FAVORABLE,0.4,DEF_INT_INT_REPOSICIONA,0
DEF_INT,DEFAULT,DEFAULT,DEF_INT_DEFAULT_TRANSICION_NEUTRA,NONE,0.0,0.0,NULL,NULL,0.25,DEF_INT_TRANSICION_NEUTRA,0
INT_DEF,DEFAULT,DEFAULT,INT_DEF_DEFAULT_DEF_CORTA_INT,B,0.0,0.0,POS_DESFAVORABLE,CONTRA_EXITOSO,0.35,INT_DEF_DEF_CORTA_INT,0
INT_DEF,DEFAULT,DEFAULT,INT_DEF_DEFAULT_INT_REPOSICIONA,A,0.0,0.0,POS_FAVORABLE,POS_DESFAVORABLE,0.4,INT_DEF_INT_REPOSICIONA,0
INT_DEF,DEFAULT,DEFAULT,INT_DEF_DEFAULT_TRANSICION_NEUTRA,NONE,0.0,0.0,NULL,NULL,0.25,INT_DEF_TRANSICION_NEUTRA,0
INT_INT,DEFAULT,DEFAULT,INT_INT_DEFAULT_CRUCE_DE_MANIOBRAS,NONE,0.0,0.0,NULL,NULL,0.5,INT_INT_CRUCE_DE_MANIOBRAS,0
INT_INT,DEFAULT,DEFAULT,INT_INT_DEFAULT_A_GANA_POSICION,A,0.0,0.0,POS_FAVORABLE,POS_DESFAVORABLE,0.25,INT_INT_A_GANA_POSICION,0
INT_INT,DEFAULT,DEFAULT,INT_INT_DEFAULT_B_GANA_POSICION,B,0.0,0.0,POS_DESFAVORABLE,POS_FAVORABLE,0.25,INT_INT_B_GANA_POSICION,0
GENERIC,DEFAULT,DEFAULT,GENERIC_DEFAULT_INTERCAMBIO_NEUTRO,NONE,0.5,0.5,NULL,NULL,0.7,GENERIC_INTERCAMBIO_NEUTRO,0
GENERIC,DEFAULT,DEFAULT,GENERIC_DEFAULT_VENTAJA_LEVE_A,A,0.0,0.5,NULL,NULL,0.2,GENERIC_VENTAJA_LEVE_A,0
GENERIC,DEFAULT,DEFAULT,GENERIC_DEFAULT_VENTAJA_LEVE_B,B,0.5,0.0,NULL,NULL,0.1,GENERIC_VENTAJA_LEVE_B,0
ATK_ATK,BAJA,BOTH_HIGH,ATK_ATK_BAJA_BH_CHOQUE_EPICO,NONE,0.5,0.5,NULL,NULL,0.6,ATK_ATK_CHOQUE_EPICO,0
ATK_ATK,BAJA,BOTH_HIGH,ATK_ATK_BAJA_BH_CORTE_SIMULTANEO,NONE,1.0,1.0,NULL,NULL,0.25,ATK_ATK_CORTE_SIMULTANEO,0
ATK_ATK,BAJA,BOTH_HIGH,ATK_ATK_BAJA_BH_CRUCE_CON_DESNIVEL_A,A,0.5,1.0,NULL,NULL,0.15,ATK_ATK_CRUCE_CON_DESNIVEL_A,0
ATK_ATK,BAJA,BOTH_LOW,ATK_ATK_BAJA_BL_TORPEZA_MUTUA,NONE,0.0,0.0,NULL,NULL,0.5,ATK_ATK_TORPEZA_MUTUA,0
ATK_ATK,BAJA,BOTH_LOW,ATK_ATK_BAJA_BL_GOLPE_DESPROLIJO,NONE,0.5,0.5,NULL,NULL,0.35,ATK_ATK_GOLPE_DESPROLIJO,0
ATK_ATK,BAJA,BOTH_LOW,ATK_ATK_BAJA_BL_TROPIEZO_A,B,0.5,0.0,CAIDO,NULL,0.15,ATK_ATK_TROPIEZO_A,0
ATK_ATK,EXTREMA,MIXED_EXTREME,ATK_ATK_EXT_MX_DOMINIO_ABSOLUTO_A,A,0.0,3.0,NULL,CAIDO,0.6,ATK_ATK_DOMINIO_ABSOLUTO_A,0
ATK_ATK,EXTREMA,MIXED_EXTREME,ATK_ATK_EXT_MX_ARMA_PARTIDA_B,A,0.0,2.5,NULL,ARMA_ROTA,0.25,ATK_ATK_ARMA_PARTIDA_B,0
ATK_ATK,EXTREMA,MIXED_EXTREME,ATK_ATK_EXT_MX_FATAL_REMATE_A,A,0.0,15.0,NULL,NULL,0.03,FATAL_REMATE,1
ATK_ATK,EXTREMA,MIXED_EXTREME,ATK_ATK_EXT_MX_FATAL_ESTOCADA_A,A,0.0,15.0,NULL,NULL,0.02,FATAL_ESTOCADA,1
ATK_ATK,MODERADA,BALANCED,ATK_ATK_MOD_BAL_INTERCAMBIO_CON_VENTAJA_A,A,0.5,1.0,NULL,NULL,0.55,ATK_ATK_INTERCAMBIO_CON_VENTAJA_A,0
ATK_ATK,MODERADA,BALANCED,ATK_ATK_MOD_BAL_CORTE_DOBLE,NONE,1.0,1.0,NULL,NULL,0.3,ATK_ATK_CORTE_DOBLE,0
ATK_ATK,MODERADA,BALANCED,ATK_ATK_MOD_BAL_EMBESTIDA_A,A,0.0,1.5,NULL,POS_DESFAVORABLE,0.15,ATK_ATK_EMBESTIDA_A,0
ATK_ATK,ALTA,BALANCED,ATK_ATK_ALTA_BAL_DOMINIO_CLARO_A,A,0.0,2.0,NULL,NULL,0.5,ATK_ATK_DOMINIO_CLARO_A,0
ATK_ATK,ALTA,BALANCED,ATK_ATK_ALTA_BAL_DERRIBO_A,A,0.0,1.5,NULL,CAIDO,0.35,ATK_ATK_DERRIBO_A,0
ATK_ATK,ALTA,BALANCED,ATK_ATK_ALTA_BAL_DESARME_A,A,0.0,1.0,NULL,DESARMADO,0.15,ATK_ATK_DESARME_A,0
ATK_ATK,BAJA,MIXED_EXTREME,ATK_ATK_BAJA_MX_CRUCE_IMPROBABLE_A,A,0.5,1.0,NULL,NULL,0.45,ATK_ATK_CRUCE_IMPROBABLE_A,0
ATK_ATK,BAJA,MIXED_EXTREME,ATK_ATK_BAJA_MX_ROCE_MILIMETRICO,NONE,0.5,0.5,NULL,NULL,0.35,ATK_ATK_ROCE_MILIMETRICO,0
ATK_ATK,BAJA,MIXED_EXTREME,ATK_ATK_BAJA_MX_PASO_EN_FALSO_B,A,0.0,1.5,NULL,POS_DESFAVORABLE,0.2,ATK_ATK_PASO_EN_FALSO_B,0
ATK_DEF,BAJA,BALANCED,ATK_DEF_BAJA_BAL_BLOQUEO_PARCIAL,B,0.0,0.5,NULL,NULL,0.5,ATK_DEF_BLOQUEO_PARCIAL,0
ATK_DEF,BAJA,BALANCED,ATK_DEF_BAJA_BAL_CONTRA_PARCIAL,B,0.5,0.0,POS_DESFAVORABLE,CONTRA_EXITOSO,0.3,ATK_DEF_CONTRA_PARCIAL,0
ATK_DEF,BAJA,BALANCED,ATK_DEF_BAJA_BAL_ATAQUE_FILTRA,A,0.0,1.0,NULL,NULL,0.2,ATK_DEF_ATAQUE_FILTRA,0
ATK_DEF,ALTA,BOTH_HIGH,ATK_DEF_ALTA_BH_GUARDIA_ROTA,A,0.0,2.0,NULL,CAIDO,0.45,ATK_DEF_GUARDIA_ROTA,0
ATK_DEF,ALTA,BOTH_HIGH,ATK_DEF_ALTA_BH_CONTRA_EPICO,B,1.5,0.0,POS_DESFAVORABLE,CONTRA_EXITOSO,0.35,ATK_DEF_CONTRA_EPICO,0
ATK_DEF,ALTA,BOTH_HIGH,ATK_DEF_ALTA_BH_BLOQUEO_BRILLANTE,B,0.5,0.0,NULL,POS_FAVORABLE,0.2,ATK_DEF_BLOQUEO_BRILLANTE,0
ATK_DEF,EXTREMA,MIXED_EXTREME,ATK_DEF_EXT_MX_DEFENSOR_COLAPSADO,A,0.0,3.0,NULL,CAIDO,0.55,ATK_DEF_DEFENSOR_COLAPSADO,0
ATK_DEF,EXTREMA,MIXED_EXTREME,ATK_DEF_EXT_MX_DESARME_TOTAL,A,0.0,2.0,NULL,DESARMADO,0.2,ATK_DEF_DESARME_TOTAL,0
ATK_DEF,EXTREMA,MIXED_EXTREME,ATK_DEF_EXT_MX_FATAL_ESTOCADA,A,0.0,15.0,NULL,NULL,0.03,FATAL_ESTOCADA,1
ATK_DEF,EXTREMA,MIXED_EXTREME,ATK_DEF_EXT_MX_FATAL_HACHAZO,A,0.0,15.0,NULL,NULL,0.02,FATAL_HACHAZO,1
ATK_DEF,EXTREMA,MIXED_EXTREME,ATK_DEF_EXT_MX_CONTRA_MILAGROSO,B,2.0,0.0,CAIDO,CONTRA_EXITOSO,0.08,ATK_DEF_CONTRA_MILAGROSO,0
ATK_DEF,BAJA,BOTH_LOW,ATK_DEF_BAJA_BL_GUARDIA_INSEGURA,A,0.0,0.5,NULL,POS_DESFAVORABLE,0.4,ATK_DEF_GUARDIA_INSEGURA,0
ATK_DEF,BAJA,BOTH_LOW,ATK_DEF_BAJA_BL_BLOQUEO_DESPROLIJO,B,0.0,0.5,NULL,NULL,0.4,ATK_DEF_BLOQUEO_DESPROLIJO,0
ATK_DEF,BAJA,BOTH_LOW,ATK_DEF_BAJA_BL_CONTRA_TORPE,B,0.5,0.0,NULL,CONTRA_EXITOSO,0.2,ATK_DEF_CONTRA_TORPE,0
ATK_DEF,MODERADA,BALANCED,ATK_DEF_MOD_BAL_IMPACTO_SOSTENIDO,A,0.0,1.5,NULL,NULL,0.45,ATK_DEF_IMPACTO_SOSTENIDO,0
ATK_DEF,MODERADA,BALANCED,ATK_DEF_MOD_BAL_BLOQUEO_FIRME,B,0.5,0.0,NULL,CONTRA_EXITOSO,0.35,ATK_DEF_BLOQUEO_FIRME,0
ATK_DEF,MODERADA,BALANCED,ATK_DEF_MOD_BAL_GUARDIA_DESPLAZADA,A,0.0,1.0,NULL,POS_DESFAVORABLE,0.2,ATK_DEF_GUARDIA_DESPLAZADA,0
ATK_DEF,ALTA,BALANCED,ATK_DEF_ALTA_BAL_ATAQUE_ROMPE_POSTURA,A,0.0,2.0,NULL,POS_DESFAVORABLE,0.45,ATK_DEF_ATAQUE_ROMPE_POSTURA,0
ATK_DEF,ALTA,BALANCED,ATK_DEF_ALTA_BAL_DERRIBO_DEL_DEFENSOR,A,0.0,1.5,NULL,CAIDO,0.35,ATK_DEF_DERRIBO_DEL_DEFENSOR,0
ATK_DEF,ALTA,BALANCED,ATK_DEF_ALTA_BAL_CONTRA_DURO,B,1.5,0.0,POS_DESFAVORABLE,CONTRA_EXITOSO,0.2,ATK_DEF_CONTRA_DURO,0
DEF_ATK,BAJA,BALANCED,DEF_ATK_BAJA_BAL_BLOQUEO_PARCIAL,A,0.5,0.0,NULL,NULL,0.5,DEF_ATK_BLOQUEO_PARCIAL,0
DEF_ATK,BAJA,BALANCED,DEF_ATK_BAJA_BAL_CONTRA_PARCIAL,A,0.0,0.5,CONTRA_EXITOSO,POS_DESFAVORABLE,0.3,DEF_ATK_CONTRA_PARCIAL,0
DEF_ATK,BAJA,BALANCED,DEF_ATK_BAJA_BAL_ATAQUE_FILTRA,B,1.0,0.0,NULL,NULL,0.2,DEF_ATK_ATAQUE_FILTRA,0
DEF_ATK,ALTA,BOTH_HIGH,DEF_ATK_ALTA_BH_GUARDIA_ROTA,B,2.0,0.0,CAIDO,NULL,0.45,DEF_ATK_GUARDIA_ROTA,0
DEF_ATK,ALTA,BOTH_HIGH,DEF_ATK_ALTA_BH_CONTRA_EPICO,A,0.0,1.5,CONTRA_EXITOSO,POS_DESFAVORABLE,0.35,DEF_ATK_CONTRA_EPICO,0
DEF_ATK,ALTA,BOTH_HIGH,DEF_ATK_ALTA_BH_BLOQUEO_BRILLANTE,A,0.0,0.5,POS_FAVORABLE,NULL,0.2,DEF_ATK_BLOQUEO_BRILLANTE,0
DEF_ATK,MODERADA,BALANCED,DEF_ATK_MOD_BAL_IMPACTO_SOSTENIDO,B,1.5,0.0,NULL,NULL,0.45,DEF_ATK_IMPACTO_SOSTENIDO,0
DEF_ATK,MODERADA,BALANCED,DEF_ATK_MOD_BAL_BLOQUEO_FIRME,A,0.0,0.5,CONTRA_EXITOSO,NULL,0.35,DEF_ATK_BLOQUEO_FIRME,0
DEF_ATK,MODERADA,BALANCED,DEF_ATK_MOD_BAL_GUARDIA_DESPLAZADA,B,1.0,0.0,POS_DESFAVORABLE,NULL,0.2,DEF_ATK_GUARDIA_DESPLAZADA,0
DEF_ATK,EXTREMA,MIXED_EXTREME,DEF_ATK_EXT_MX_DEFENSOR_COLAPSADO,B,3.0,0.0,CAIDO,NULL,0.55,DEF_ATK_DEFENSOR_COLAPSADO,0
DEF_ATK,EXTREMA,MIXED_EXTREME,DEF_ATK_EXT_MX_DESARME_TOTAL,B,2.0,0.0,DESARMADO,NULL,0.2,DEF_ATK_DESARME_TOTAL,0
DEF_ATK,EXTREMA,MIXED_EXTREME,DEF_ATK_EXT_MX_FATAL_ESTOCADA,B,15.0,0.0,NULL,NULL,0.03,FATAL_ESTOCADA,1
DEF_ATK,EXTREMA,MIXED_EXTREME,DEF_ATK_EXT_MX_FATAL_HACHAZO,B,15.0,0.0,NULL,NULL,0.02,FATAL_HACHAZO,1
DEF_ATK,EXTREMA,MIXED_EXTREME,DEF_ATK_EXT_MX_CONTRA_MILAGROSO,A,0.0,2.0,CONTRA_EXITOSO,CAIDO,0.08,DEF_ATK_CONTRA_MILAGROSO,0
DEF_DEF,BAJA,BOTH_HIGH,DEF_DEF_BAJA_BH_DUELO_TACTICO,NONE,0.0,0.0,NULL,NULL,0.45,DEF_DEF_DUELO_TACTICO,0
DEF_DEF,BAJA,BOTH_HIGH,DEF_DEF_BAJA_BH_REPOSICION_A,A,0.0,0.0,POS_FAVORABLE,POS_DESFAVORABLE,0.3,DEF_DEF_REPOSICION_A,0
DEF_DEF,BAJA,BOTH_HIGH,DEF_DEF_BAJA_BH_REPOSICION_B,B,0.0,0.0,POS_DESFAVORABLE,POS_FAVORABLE,0.25,DEF_DEF_REPOSICION_B,0
DEF_DEF,BAJA,BOTH_LOW,DEF_DEF_BAJA_BL_DESORIENTACION_MUTUA,NONE,0.0,0.0,POS_DESFAVORABLE,POS_DESFAVORABLE,0.5,DEF_DEF_DESORIENTACION_MUTUA,0
DEF_DEF,BAJA,BOTH_LOW,DEF_DEF_BAJA_BL_PASO_EN_FALSO_A,B,0.5,0.0,POS_DESFAVORABLE,NULL,0.25,DEF_DEF_PASO_EN_FALSO_A,0
DEF_DEF,BAJA,BOTH_LOW,DEF_DEF_BAJA_BL_PASO_EN_FALSO_B,A,0.0,0.5,NULL,POS_DESFAVORABLE,0.25,DEF_DEF_PASO_EN_FALSO_B,0
DEF_DEF,ALTA,BALANCED,DEF_DEF_ALTA_BAL_DOMINIO_ESPACIAL_A,A,0.0,0.0,POS_FAVORABLE,POS_DESFAVORABLE,0.55,DEF_DEF_DOMINIO_ESPACIAL_A,0
DEF_DEF,ALTA,BALANCED,DEF_DEF_ALTA_BAL_CIERRE_DE_ANGULO_A,A,0.0,0.5,POS_FAVORABLE,NULL,0.25,DEF_DEF_CIERRE_DE_ANGULO_A,0
DEF_DEF,ALTA,BALANCED,DEF_DEF_ALTA_BAL_REPLIEGUE_B,B,0.0,0.0,POS_DESFAVORABLE,POS_FAVORABLE,0.2,DEF_DEF_REPLIEGUE_B,0
DEF_DEF,MODERADA,BALANCED,DEF_DEF_MOD_BAL_REPOSICION_A,A,0.0,0.0,POS_FAVORABLE,POS_DESFAVORABLE,0.45,DEF_DEF_REPOSICION_A_MOD,0
DEF_DEF,MODERADA,BALANCED,DEF_DEF_MOD_BAL_REPOSICION_B,B,0.0,0.0,POS_DESFAVORABLE,POS_FAVORABLE,0.35,DEF_DEF_REPOSICION_B_MOD,0
DEF_DEF,MODERADA,BALANCED,DEF_DEF_MOD_BAL_ESPERA_TACTICA,NONE,0.0,0.0,NULL,NULL,0.2,DEF_DEF_ESPERA_TACTICA,0
INT_INT,BAJA,BOTH_HIGH,INT_INT_BAJA_BH_MANIOBRAS_ESPEJO,NONE,0.0,0.0,NULL,NULL,0.4,INT_INT_MANIOBRAS_ESPEJO,0
INT_INT,BAJA,BOTH_HIGH,INT_INT_BAJA_BH_A_ABRE_ANGULO,A,0.0,0.0,POS_FAVORABLE,POS_DESFAVORABLE,0.3,INT_INT_A_ABRE_ANGULO,0
INT_INT,BAJA,BOTH_HIGH,INT_INT_BAJA_BH_B_ABRE_ANGULO,B,0.0,0.0,POS_DESFAVORABLE,POS_FAVORABLE,0.3,INT_INT_B_ABRE_ANGULO,0
INT_INT,BAJA,BOTH_LOW,INT_INT_BAJA_BL_CAOS_TORPE,NONE,0.0,0.0,NULL,NULL,0.45,INT_INT_CAOS_TORPE,0
INT_INT,BAJA,BOTH_LOW,INT_INT_BAJA_BL_TROPIEZO_MUTUO,NONE,0.5,0.5,POS_DESFAVORABLE,POS_DESFAVORABLE,0.35,INT_INT_TROPIEZO_MUTUO,0
INT_INT,BAJA,BOTH_LOW,INT_INT_BAJA_BL_A_PIERDE_TIEMPO,B,0.0,0.0,POS_DESFAVORABLE,NULL,0.2,INT_INT_A_PIERDE_TIEMPO,0
INT_INT,ALTA,MIXED_EXTREME,INT_INT_ALTA_MX_MANIOBRA_DECISIVA_A,A,0.0,0.0,POS_FAVORABLE,POS_DESFAVORABLE,0.5,INT_INT_MANIOBRA_DECISIVA_A,0
INT_INT,ALTA,MIXED_EXTREME,INT_INT_ALTA_MX_ENTORNO_CORTANTE_A,A,0.0,0.5,NULL,VIDRIO_ROTO,0.3,INT_INT_ENTORNO_CORTANTE_A,0
INT_INT,ALTA,MIXED_EXTREME,INT_INT_ALTA_MX_B_QUEDA_EXPUESTO,A,0.0,0.0,NULL,CAIDO,0.2,INT_INT_B_QUEDA_EXPUESTO,0
INT_INT,MODERADA,BALANCED,INT_INT_MOD_BAL_CRUCE_DE_RECURSOS,NONE,0.0,0.0,NULL,NULL,0.4,INT_INT_CRUCE_DE_RECURSOS,0
INT_INT,MODERADA,BALANCED,INT_INT_MOD_BAL_A_TOMA_COBERTURA,A,0.0,0.0,POS_FAVORABLE,POS_DESFAVORABLE,0.3,INT_INT_A_TOMA_COBERTURA,0
INT_INT,MODERADA,BALANCED,INT_INT_MOD_BAL_B_TOMA_COBERTURA,B,0.0,0.0,POS_DESFAVORABLE,POS_FAVORABLE,0.3,INT_INT_B_TOMA_COBERTURA,0
ATK_INT,ALTA,BALANCED,ATK_INT_ALTA_BAL_INT_INTERRUMPIDA,A,0.0,2.0,NULL,CAIDO,0.5,ATK_INT_INT_INTERRUMPIDA,0
ATK_INT,ALTA,BALANCED,ATK_INT_ALTA_BAL_GOLPE_SOBRE_APERTURA,A,0.0,1.5,NULL,POS_DESFAVORABLE,0.35,ATK_INT_GOLPE_SOBRE_APERTURA,0
ATK_INT,ALTA,BALANCED,ATK_INT_ALTA_BAL_MANIOBRA_QUE_DESUBICA_A,B,1.0,0.0,POS_DESFAVORABLE,POS_FAVORABLE,0.15,ATK_INT_MANIOBRA_QUE_DESUBICA_A,0
ATK_INT,BAJA,BALANCED,ATK_INT_BAJA_BAL_INT_PARCIAL,B,0.5,0.0,NULL,POS_FAVORABLE,0.45,ATK_INT_INT_PARCIAL,0
ATK_INT,BAJA,BALANCED,ATK_INT_BAJA_BAL_ATAQUE_ROZA,A,0.0,0.5,NULL,NULL,0.35,ATK_INT_ATAQUE_ROZA,0
ATK_INT,BAJA,BALANCED,ATK_INT_BAJA_BAL_CRUCE_TENSO,NONE,0.0,0.0,NULL,NULL,0.2,ATK_INT_CRUCE_TENSO,0
ATK_INT,EXTREMA,MIXED_EXTREME,ATK_INT_EXT_MX_CASTIGO_SIN_DEFENSA,A,0.0,3.0,NULL,CAIDO,0.55,ATK_INT_CASTIGO_SIN_DEFENSA,0
ATK_INT,EXTREMA,MIXED_EXTREME,ATK_INT_EXT_MX_ARMA_HECHA_PEDAZOS,A,0.0,2.0,NULL,ARMA_ROTA,0.2,ATK_INT_ARMA_HECHA_PEDAZOS,0
ATK_INT,EXTREMA,MIXED_EXTREME,ATK_INT_EXT_MX_FATAL_REMATE,A,0.0,15.0,NULL,NULL,0.03,FATAL_REMATE,1
ATK_INT,EXTREMA,MIXED_EXTREME,ATK_INT_EXT_MX_INT_GENIAL_REVIERTE,B,2.0,0.0,CAIDO,POS_FAVORABLE,0.12,ATK_INT_INT_GENIAL_REVIERTE,0
ATK_INT,EXTREMA,MIXED_EXTREME,ATK_INT_EXT_MX_ATAQUE_AL_PRECIPICIO,A,0.0,15.0,NULL,NULL,0.02,FATAL_ENTORNO,1
INT_ATK,ALTA,BALANCED,INT_ATK_ALTA_BAL_INT_FALLIDA_GOLPE,B,2.0,0.0,CAIDO,NULL,0.5,INT_ATK_INT_FALLIDA_GOLPE,0
INT_ATK,ALTA,BALANCED,INT_ATK_ALTA_BAL_INT_FALLIDA_LEVE,B,1.0,0.0,POS_DESFAVORABLE,NULL,0.35,INT_ATK_INT_FALLIDA_LEVE,0
INT_ATK,ALTA,BALANCED,INT_ATK_ALTA_BAL_MANIOBRA_QUE_DESUBICA_B,A,0.0,1.0,POS_FAVORABLE,POS_DESFAVORABLE,0.15,INT_ATK_MANIOBRA_QUE_DESUBICA_B,0
INT_ATK,BAJA,BALANCED,INT_ATK_BAJA_BAL_INT_PARCIAL,A,0.0,0.5,POS_FAVORABLE,NULL,0.45,INT_ATK_INT_PARCIAL,0
INT_ATK,BAJA,BALANCED,INT_ATK_BAJA_BAL_ATAQUE_ROZA,B,0.5,0.0,NULL,NULL,0.35,INT_ATK_ATAQUE_ROZA,0
INT_ATK,BAJA,BALANCED,INT_ATK_BAJA_BAL_CRUCE_TENSO,NONE,0.0,0.0,NULL,NULL,0.2,INT_ATK_CRUCE_TENSO,0
INT_ATK,EXTREMA,MIXED_EXTREME,INT_ATK_EXT_MX_CASTIGO_SIN_DEFENSA,B,3.0,0.0,CAIDO,NULL,0.55,INT_ATK_CASTIGO_SIN_DEFENSA,0
INT_ATK,EXTREMA,MIXED_EXTREME,INT_ATK_EXT_MX_ARMA_HECHA_PEDAZOS,B,2.0,0.0,ARMA_ROTA,NULL,0.2,INT_ATK_ARMA_HECHA_PEDAZOS,0
INT_ATK,EXTREMA,MIXED_EXTREME,INT_ATK_EXT_MX_FATAL_REMATE,B,15.0,0.0,NULL,NULL,0.03,FATAL_REMATE,1
INT_ATK,EXTREMA,MIXED_EXTREME,INT_ATK_EXT_MX_INT_GENIAL_REVIERTE,A,0.0,2.0,POS_FAVORABLE,CAIDO,0.12,INT_ATK_INT_GENIAL_REVIERTE,0
INT_ATK,EXTREMA,MIXED_EXTREME,INT_ATK_EXT_MX_ATAQUE_AL_PRECIPICIO,B,15.0,0.0,NULL,NULL,0.02,FATAL_ENTORNO,1
DEF_INT,MODERADA,BALANCED,DEF_INT_MOD_BAL_DEFLECTA_MANIOBRA,A,0.0,0.0,CONTRA_EXITOSO,POS_DESFAVORABLE,0.45,DEF_INT_DEFLECTA_MANIOBRA,0
DEF_INT,MODERADA,BALANCED,DEF_INT_MOD_BAL_INT_ENCUENTRA_HUECO,B,0.0,0.0,POS_DESFAVORABLE,POS_FAVORABLE,0.35,DEF_INT_INT_ENCUENTRA_HUECO,0
DEF_INT,MODERADA,BALANCED,DEF_INT_MOD_BAL_TRANSICION_CON_TENSION,NONE,0.0,0.0,NULL,NULL,0.2,DEF_INT_TRANSICION_CON_TENSION,0
DEF_INT,ALTA,BOTH_HIGH,DEF_INT_ALTA_BH_DEFENSOR_LEE_TODO,A,0.0,0.0,CONTRA_EXITOSO,POS_DESFAVORABLE,0.4,DEF_INT_DEFENSOR_LEE_TODO,0
DEF_INT,ALTA,BOTH_HIGH,DEF_INT_ALTA_BH_INT_BRILLANTE,B,0.0,0.0,POS_DESFAVORABLE,POS_FAVORABLE,0.35,DEF_INT_INT_BRILLANTE,0
DEF_INT,ALTA,BOTH_HIGH,DEF_INT_ALTA_BH_INT_ROMPE_ESPACIO,B,0.0,0.5,NULL,VIDRIO_ROTO,0.25,DEF_INT_INT_ROMPE_ESPACIO,0
